reaction_id,section,step,reaction_class,named_reaction,reaction_smiles,resolved/total,reactants,reactant_smiles,products,product_smiles,origins
Background_Step 1,Background,Step 1,nucleophilic_substitution,Williamson ether synthesis,,2/3,methyl 2-chloro-3-(bromomethyl)-4-(methanesulfonyl)benzoate; methanol,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl; CO,the methyl ester of the target compound,,name_parsed; none; patent_drawing
Background_Step 2,Background,Step 2,hydrolysis,saponification,,1/3,the methyl ester of the target compound; 2-chloro-3-(methoxymethyl)-4-(methanesulfonyl)benzoic acid,; COCc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl,2-chloro-3-(alkoxymethyl)-4-(methanesulfonyl)benzoic acid,,name_parsed; none
Claims_Step 1,Claims,Step 1,hydrolysis,,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl.[Na+].[OH-].[K+].[OH-].CC(C)(C)[O-].[Na+].CC(C)(C)[O-].[K+].[H-].[Na+].[H-].[K+].[Na].[K].CC(C)(C)O.CCC(C)(C)O.CCCC(C)(C)O>>CS(=O)(=O)c1ccc(C(=O)[O-])c(Cl)c1CBr,13/13,methyl 2-chloro-3-(bromomethyl)-4-(methanesulfonyl)benzoate; sodium hydroxide; potassium hydroxide; sodium tert-butoxide; potassium tert-butoxide; sodium hydride; potassium hydride; sodium metal; potassium metal; tert-butanol; tert-amyl alcohol; 2-methyl-2-pentanol,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl; [Na+].[OH-]; [K+].[OH-]; CC(C)(C)[O-].[Na+]; CC(C)(C)[O-].[K+]; [H-].[Na+]; [H-].[K+]; [Na]; [K]; CC(C)(C)O; CCC(C)(C)O; CCCC(C)(C)O,2-chloro-3-(bromomethyl)-4-(methanesulfonyl)benzoate salt,CS(=O)(=O)c1ccc(C(=O)[O-])c(Cl)c1CBr,curated; name_parsed; patent_drawing
Claims_Step 2,Claims,Step 2,nucleophilic_substitution,Williamson ether synthesis,,17/18,"2-chloro-3-(bromomethyl)-4-(methanesulfonyl)benzoate salt; 2,2,2-trifluoroethanol; tetrahydrofurfuryl alcohol; sodium hydroxide; potassium hydroxide; sodium tert-butoxide; potassium tert-butoxide; sodium hydride; potassium hydride; sodium metal; potassium metal; acetonitrile; N,N-dimethylformamide; dimethyl sulfoxide; tetrahydrofuran; hydrochloric acid; water",CS(=O)(=O)c1ccc(C(=O)[O-])c(Cl)c1CBr; OCC(F)(F)F; OCC1CCCO1; [Na+].[OH-]; [K+].[OH-]; CC(C)(C)[O-].[Na+]; CC(C)(C)[O-].[K+]; [H-].[Na+]; [H-].[K+]; [Na]; [K]; CC#N; CN(C)C=O; CS(C)=O; C1CCOC1; Cl; O,2-chloro-3-(alkoxymethyl)-4-(methanesulfonyl)benzoic acid,,curated; name_parsed; none
Example 1_Step 1,Example 1,Step 1,hydrolysis,saponification,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl.[Na+].[OH-].CC(C)(C)O>>CS(=O)(=O)c1ccc(C(=O)[O-])c(Cl)c1CBr.[Na+],4/4,methyl 2-chloro-3-(bromomethyl)-4-(methanesulfonyl)benzoate; sodium hydroxide; tert-butanol,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl; [Na+].[OH-]; CC(C)(C)O,sodium 2-chloro-3-(bromomethyl)-4-(methanesulfonyl)benzoate,CS(=O)(=O)c1ccc(C(=O)[O-])c(Cl)c1CBr.[Na+],name_parsed; patent_drawing
Example 1_Step 2a,Example 1,Step 2a,salt_formation,,OCC(F)(F)F.[H-].[Na+]>>[Na+].[O-]CC(F)(F)F,3/3,"2,2,2-trifluoroethanol; sodium hydride",OCC(F)(F)F; [H-].[Na+],"sodium 2,2,2-trifluoroethoxide",[Na+].[O-]CC(F)(F)F,name_parsed
Example 1_Step 2b,Example 1,Step 2b,nucleophilic_substitution,Williamson ether synthesis,CS(=O)(=O)c1ccc(C(=O)[O-])c(Cl)c1CBr.[Na+].[Na+].[O-]CC(F)(F)F.C1CCOC1.O.Cl>>CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,6/6,"sodium 2-chloro-3-(bromomethyl)-4-(methanesulfonyl)benzoate; sodium 2,2,2-trifluoroethoxide; tetrahydrofuran; water; hydrochloric acid",CS(=O)(=O)c1ccc(C(=O)[O-])c(Cl)c1CBr.[Na+]; [Na+].[O-]CC(F)(F)F; C1CCOC1; O; Cl,"2-chloro-3-[(2,2,2-trifluoroethoxy)methyl]-4-(methanesulfonyl)benzoic acid",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Example 10_Step 1,Example 10,Step 1,hydrolysis,,CCC(C)(C)O.CC(C)(C)O.[H-].[K+].COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl>>CS(=O)(=O)c1ccc(C(=O)[O-])c(Cl)c1CBr.[K+],5/5,tert-amyl alcohol; tert-butanol; potassium hydride; methyl 2-chloro-3-(bromomethyl)-4-(methanesulfonyl)benzoate,CCC(C)(C)O; CC(C)(C)O; [H-].[K+]; COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl,potassium 2-chloro-3-(bromomethyl)-4-(methanesulfonyl)benzoate,CS(=O)(=O)c1ccc(C(=O)[O-])c(Cl)c1CBr.[K+],name_parsed; patent_drawing
Example 10_Step 2,Example 10,Step 2,nucleophilic_substitution,Williamson ether synthesis,CN(C)C=O.OCC(F)(F)F.[K+].[OH-].CS(=O)(=O)c1ccc(C(=O)[O-])c(Cl)c1CBr.[K+].O.Cl>>CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,7/7,"N,N-dimethylformamide; 2,2,2-trifluoroethanol; potassium hydroxide; potassium 2-chloro-3-(bromomethyl)-4-(methanesulfonyl)benzoate; water; hydrochloric acid",CN(C)C=O; OCC(F)(F)F; [K+].[OH-]; CS(=O)(=O)c1ccc(C(=O)[O-])c(Cl)c1CBr.[K+]; O; Cl,"2-chloro-3-[(2,2,2-trifluoroethoxy)methyl]-4-(methanesulfonyl)benzoic acid",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Example 11_Step 1,Example 11,Step 1,hydrolysis,,CC(C)(C)O.[Na].COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl>>CS(=O)(=O)c1ccc(C(=O)[O-])c(Cl)c1CBr.[Na+],4/4,tert-butanol; sodium metal; methyl 2-chloro-3-(bromomethyl)-4-(methanesulfonyl)benzoate,CC(C)(C)O; [Na]; COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl,sodium 2-chloro-3-(bromomethyl)-4-(methanesulfonyl)benzoate,CS(=O)(=O)c1ccc(C(=O)[O-])c(Cl)c1CBr.[Na+],curated; name_parsed; patent_drawing
