reaction_id,section,step,reaction_class,named_reaction,reaction_smiles,resolved/total,reactants,reactant_smiles,products,product_smiles,origins
Background_Step 1,Background,Step 1,halogenation,Wohl-Ziegler bromination,O=C1CCC(=O)N1Br>>COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl,2/2,NBS,O=C1CCC(=O)N1Br,methyl 2-chloro-3-bromomethyl-4-methylsulfonylbenzoate,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl,derived; name_parsed
Background_Step 2,Background,Step 2,halogenation,Wohl-Ziegler bromination,O=C1CCC(=O)N1Br>>COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl,2/2,NBS,O=C1CCC(=O)N1Br,methyl 2-chloro-3-bromomethyl-4-methylsulfonylbenzoate,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl,derived; name_parsed
Background_Step 3,Background,Step 3,halogenation,,[Br]>>COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl,2/2,bromine,[Br],methyl 2-chloro-3-bromomethyl-4-methylsulfonylbenzoate,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl,derived; name_parsed
Background_Step 4,Background,Step 4,nucleophilic_substitution,Williamson ether synthesis,[Na+].[O-]CC(F)(F)F>>CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,2/2,"sodium 2,2,2-trifluoroethoxide",[Na+].[O-]CC(F)(F)F,"2-chloro-3-(2,2,2-trifluoroethoxy)methyl-4-methylsulfonylbenzoic acid",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,derived; name_parsed
Background_Step 5,Background,Step 5,other,,CC(=O)CC#N.CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,3/3,"cyanoacetone; 3-oxo-1-cyclohexen-1-yl 2-chloro-3-(2,2,2-trifluoroethoxy)methyl-4-methylsulfonylbenzoate",CC(=O)CC#N; CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COCC(F)(F)F,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Background_Step 6,Background,Step 6,nucleophilic_substitution,Williamson ether synthesis,[Na+].[O-]CC(F)(F)F>>CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,2/2,"sodium 2,2,2-trifluoroethoxide",[Na+].[O-]CC(F)(F)F,"2-chloro-3-(2,2,2-trifluoroethoxy)methyl-4-methylsulfonylbenzoic acid",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,derived; name_parsed
Background_Step 7,Background,Step 7,other,,>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,1/1,,,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,patent_drawing
Background_Step 8,Background,Step 8,halogenation,,[Br]>>COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl,2/2,bromine,[Br],methyl 2-chloro-3-bromomethyl-4-methylsulfonylbenzoate,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl,derived; name_parsed
Background_Step 9,Background,Step 9,nucleophilic_substitution,,C[O-].[Na+]>>CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,2/2,sodium methoxide,C[O-].[Na+],"2-chloro-3-(2,2,2-trifluoroethoxy)methyl-4-methylsulfonylbenzoic acid",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,derived; name_parsed
Background_Step 10,Background,Step 10,other,,CC#N>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,2/2,acetonitrile,CC#N,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Claims_Step 1,Claims,Step 1,halogenation,,,14/16,"methyl 2-chloro-3-methyl-4-(methanesulfonyl)benzoate; 溶剂; 催化剂; hydrobromic acid; hydrogen peroxide; azobisisobutyronitrile; 3-chloroperoxybenzoic acid; dichloromethane; 1,2-dichloroethane; chloroform; methanol; ethanol; isopropanol; n-butanol; water",COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl; ; ; Br; OO; CC(C)(C#N)N=NC(C)(C)C#N; O=C(OO)c1cccc(Cl)c1; ClCCl; ClCCCl; ClC(Cl)Cl; CO; CCO; CC(C)O; CCCCO; O,methyl 2-chloro-3-(bromomethyl)-4-(methanesulfonyl)benzoate,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl,name_parsed; none; patent_drawing
Claims_Step 2,Claims,Step 2,hydrolysis,Williamson ether synthesis,,15/19,"methyl 2-chloro-3-(bromomethyl)-4-(methanesulfonyl)benzoate; 碱1; 催化剂; 溶剂; 2,2,2-trifluoroethanol; potassium carbonate; triethylenediamine; 2-methyltriethylenediamine; acetonitrile; N,N-dimethylformamide; acetone; tetrahydrofuran; 碱2; sodium hydroxide; potassium hydroxide; lithium hydroxide; water; hydrochloric acid",COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl; ; ; ; OCC(F)(F)F; O=C([O-])[O-].[K+].[K+]; C1CN2CCN1CC2; CC1CN2CCN1CC2; CC#N; CN(C)C=O; CC(C)=O; C1CCOC1; ; [Na+].[OH-]; [K+].[OH-]; [Li+].[OH-]; O; Cl,"2-chloro-3-[(2,2,2-trifluoroethoxy)methyl]-4-(methanesulfonyl)benzoic acid",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Claims_Step 3,Claims,Step 3,other,,,12/14,"2-chloro-3-[(2,2,2-trifluoroethoxy)methyl]-4-(methanesulfonyl)benzoic acid; 催化剂; N,N-dimethylformamide; thionyl chloride; 溶剂; cyclohexane-1,3-dione; triethylamine; acetone cyanohydrin; methanol; ethanol; isopropanol; n-butanol; water",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F; ; CN(C)C=O; O=S(Cl)Cl; ; O=C1CCCC(=O)C1; CCN(CC)CC; CC(C)(O)C#N; CO; CCO; CC(C)O; CCCCO; O,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; none; patent_drawing
Comparative Example_Step 1,Comparative Example,Step 1,halogenation,,COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl.ClC(Cl)(Cl)Cl.[Br]>>COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl,4/4,methyl 2-chloro-3-methyl-4-(methylsulfonyl)benzoate; carbon tetrachloride; bromine,COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl; ClC(Cl)(Cl)Cl; [Br],methyl 2-chloro-3-(bromomethyl)-4-(methylsulfonyl)benzoate,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl,derived; name_parsed; patent_drawing
Comparative Example_Step 2,Comparative Example,Step 2,hydrolysis,,C[O-].[Na+].CN(C)C=O.OCC(F)(F)F.COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl.CCO.[Na+].[OH-].Cl>>CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,8/8,"sodium methoxide; N,N-dimethylformamide; 2,2,2-trifluoroethanol; methyl 2-chloro-3-(bromomethyl)-4-(methylsulfonyl)benzoate; ethanol; sodium hydroxide; hydrochloric acid",C[O-].[Na+]; CN(C)C=O; OCC(F)(F)F; COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl; CCO; [Na+].[OH-]; Cl,"2-chloro-3-[(2,2,2-trifluoroethoxy)methyl]-4-(methylsulfonyl)benzoic acid",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
Comparative Example_Step 3,Comparative Example,Step 3,acylation,,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F.ClCCl.O=S(Cl)Cl.CC#N.O=C1CCCC(=O)C1.CC(C)(O)C#N.O.Cl>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,9/9,"2-chloro-3-[(2,2,2-trifluoroethoxy)methyl]-4-(methylsulfonyl)benzoic acid; dichloromethane; thionyl chloride; acetonitrile; cyclohexane-1,3-dione; acetone cyanohydrin; water; hydrochloric acid",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COCC(F)(F)F; ClCCl; O=S(Cl)Cl; CC#N; O=C1CCCC(=O)C1; CC(C)(O)C#N; O; Cl,tembotrione,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F,name_parsed; patent_drawing
