reaction_id,section,step,reaction_class,named_reaction,reaction_smiles,resolved/total,reactants,reactant_smiles,products,product_smiles,origins
Example 1_Step 1,Example 1,Step 1,nucleophilic_substitution,,Cc1c(Cl)cccc1Cl.CN(C)P(=O)(N(C)C)N(C)C.C[S-].[Na+].CI.O.CCOC(C)=O.O=S(=O)([O-])[O-].[Mg+2]>>CSc1cccc(Cl)c1C,8/8,"2,6-dichlorotoluene; hexamethylphosphoric triamide; sodium thiomethoxide; iodomethane; water; ethyl acetate; magnesium sulfate",Cc1c(Cl)cccc1Cl; CN(C)P(=O)(N(C)C)N(C)C; C[S-].[Na+]; CI; O; CCOC(C)=O; O=S(=O)([O-])[O-].[Mg+2],2-chloro-6-(methylthio)toluene,CSc1cccc(Cl)c1C,name_parsed
Example 1_Step 2,Example 1,Step 2,acylation,Friedel-Crafts acylation,CC(=O)Cl.[Cl][Al]([Cl])[Cl].ClCCCl.CSc1cccc(Cl)c1C.O.Cl.ClCCl.O=S(=O)([O-])[O-].[Mg+2]>>CSc1ccc(C(C)=O)c(Cl)c1C,9/9,"acetyl chloride; aluminium chloride; 1,2-dichloroethane; 2-chloro-6-(methylthio)toluene; water; hydrochloric acid; dichloromethane; magnesium sulfate",CC(=O)Cl; [Cl][Al]([Cl])[Cl]; ClCCCl; CSc1cccc(Cl)c1C; O; Cl; ClCCl; O=S(=O)([O-])[O-].[Mg+2],2-chloro-3-methyl-4-methylthio-acetophenone,CSc1ccc(C(C)=O)c(Cl)c1C,curated; name_parsed
Example 1_Step 3,Example 1,Step 3,oxidation,,CSc1ccc(C(C)=O)c(Cl)c1C.CC(=O)O.[Na+].[Na+].[O]=[W](=[O])([O-])[O-].OO.O>>CC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl,6/6,2-chloro-3-methyl-4-methylthio-acetophenone; acetic acid; sodium tungstate; hydrogen peroxide; water,CSc1ccc(C(C)=O)c(Cl)c1C; CC(=O)O; [Na+].[Na+].[O]=[W](=[O])([O-])[O-]; OO; O,2-chloro-3-methyl-4-methylsulfonyl-acetophenone,CC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl,curated; name_parsed
Example 1_Step 4,Example 1,Step 4,oxidation,haloform reaction,CC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl.C1COCCO1.[Na+].[O-]Cl.Cl.O>>Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl,6/6,"2-chloro-3-methyl-4-methylsulfonyl-acetophenone; 1,4-dioxane; sodium hypochlorite; hydrochloric acid; water",CC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl; C1COCCO1; [Na+].[O-]Cl; Cl; O,2-chloro-3-methyl-4-methylsulfonyl-benzoic acid,Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl,curated; name_parsed
Example 1_Step 5,Example 1,Step 5,ester_formation,Fischer esterification,Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl.CO.Cl>>COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl,4/4,2-chloro-3-methyl-4-methylsulfonyl-benzoic acid; methanol; hydrochloric acid,Cc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl; CO; Cl,methyl 2-chloro-3-methyl-4-methylsulfonyl-benzoate,COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl,name_parsed
Example 1_Step 6,Example 1,Step 6,halogenation,Wohl-Ziegler bromination,COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl.ClC(Cl)(Cl)Cl.O=C1CCC(=O)N1Br.O=C(OOC(=O)c1ccccc1)c1ccccc1.CCOCC.CCCCCCC>>COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl,7/7,methyl 2-chloro-3-methyl-4-methylsulfonyl-benzoate; carbon tetrachloride; N-bromosuccinimide; dibenzoyl peroxide; diethyl ether; n-heptane,COC(=O)c1ccc(S(C)(=O)=O)c(C)c1Cl; ClC(Cl)(Cl)Cl; O=C1CCC(=O)N1Br; O=C(OOC(=O)c1ccccc1)c1ccccc1; CCOCC; CCCCCCC,methyl 3-bromomethyl-2-chloro-4-methylsulfonyl-benzoate,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl,name_parsed
Example 1_Step 7,Example 1,Step 7,hydrolysis,Williamson ether synthesis,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl.OC1CCCCC1.CC(C)(C)[O-].[K+].C1CCOC1.O.[Na+].[OH-].Cl.ClCCl.O=S(=O)([O-])[O-].[Mg+2]>>CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COC1CCCCC1,10/10,methyl 3-bromomethyl-2-chloro-4-methylsulfonyl-benzoate; cyclohexanol; potassium tert-butoxide; tetrahydrofuran; water; sodium hydroxide; hydrochloric acid; dichloromethane; magnesium sulfate,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl; OC1CCCCC1; CC(C)(C)[O-].[K+]; C1CCOC1; O; [Na+].[OH-]; Cl; ClCCl; O=S(=O)([O-])[O-].[Mg+2],2-chloro-3-cyclohexanyloxymethyl-4-methylsulfonyl-benzoic acid,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COC1CCCCC1,name_parsed
Example 1_Step 8,Example 1,Step 8,ester_formation,,,9/10,"2-chloro-3-cyclohexanyloxymethyl-4-methylsulfonyl-benzoic acid; dichloromethane; N,N-dimethylformamide; oxalyl chloride; cyclohexane-1,3-dione; triethylamine; silica gel; ethyl acetate; hexane",CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COC1CCCCC1; ClCCl; CN(C)C=O; O=C(Cl)C(=O)Cl; O=C1CCCC(=O)C1; CCN(CC)CC; ; CCOC(C)=O; CCCCCC,3-oxo-1-cyclohexenyl 2-chloro-3-cyclohexanyloxymethyl-4-methylsulfonyl-benzoate,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COC1CCCCC1,name_parsed; none
Example 1_Step 9,Example 1,Step 9,acylation,,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COC1CCCCC1.CC(C)(O)C#N.CCN(CC)CC.CC#N.O.Cl.CCOC(C)=O.O=S(=O)([O-])[O-].[Mg+2]>>CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COC1CCCCC1,9/9,3-oxo-1-cyclohexenyl 2-chloro-3-cyclohexanyloxymethyl-4-methylsulfonyl-benzoate; acetone cyanohydrin; triethylamine; acetonitrile; water; hydrochloric acid; ethyl acetate; magnesium sulfate,CS(=O)(=O)c1ccc(C(=O)OC2=CC(=O)CCC2)c(Cl)c1COC1CCCCC1; CC(C)(O)C#N; CCN(CC)CC; CC#N; O; Cl; CCOC(C)=O; O=S(=O)([O-])[O-].[Mg+2],"2-(2-chloro-3-cyclohexanyloxymethyl-4-methylsulfonyl-benzoyl)-cyclohexane-1,3-dione",CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COC1CCCCC1,name_parsed
Example 2_Step 1,Example 2,Step 1,hydrolysis,Williamson ether synthesis,COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl.Oc1ccccc1.CN(C)C=O.[H-].[Na+].C1CCOC1.O.[Na+].[OH-].Cl.ClCCl.O=S(=O)([O-])[O-].[Mg+2]>>CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COc1ccccc1,11/11,"methyl 3-bromomethyl-2-chloro-4-methylsulfonyl-benzoate; phenol; N,N-dimethylformamide; sodium hydride; tetrahydrofuran; water; sodium hydroxide; hydrochloric acid; dichloromethane; magnesium sulfate",COC(=O)c1ccc(S(C)(=O)=O)c(CBr)c1Cl; Oc1ccccc1; CN(C)C=O; [H-].[Na+]; C1CCOC1; O; [Na+].[OH-]; Cl; ClCCl; O=S(=O)([O-])[O-].[Mg+2],2-chloro-4-methylsulfonyl-3-phenoxymethyl-benzoic acid,CS(=O)(=O)c1ccc(C(=O)O)c(Cl)c1COc1ccccc1,name_parsed
